Pos,Name,Club,Cat,Time
1,Stewart Whitlie,Carnethy,M50,2:51:54
2,Mark Harris,Anster Haddies,M40,2:52:55
3,Finlay Wild,Lochaber AC,M,2:53:24
4,Andrew Fallas,Carnethy,M,2:57:12
5,Alec Keith,Hunters Bog Trotters,M40,2:59:58
6,Dave Eiser,Ochil HR,M,3:00:49
7,Craig Mattocks,Gala Harriers,M,3:02:35
8,Manny Gorman,Westerlands,M40,3:06:42
9,Michael Reid,Carnethy,M,3:07:54
10,Tom Ferrington,Corstorphine AAC,M,3:08:57
11,Jon Ascroft,Carnethy,M,3:09:55
12,Chris Upson,Westerlands,M40,3:10:09
13,Jasmin Paris,Carnethy,F,3:11:05
14,David Fulton,Hunters Bog Trotters,M,3:13:10
15,Richie Cunningham,Carn,M40,3:14:01
16,Charlotte Morgan,Carnethy,F,3:14:40
17,Craig Love,Dundee Road Runners,M40,3:15:06
18,James Britton,Carnethy,M,3:16:34
19,Andy Kitchin,Edinburgh AC,M40,3:16:46
20,Iain Walker,Westerlands,M,3:19:25
21,Cameron Murray,Carnethy,M40,3:20:40
22,Helen Bonsor,Carnethy,F,3:20:40
23,Jill Mykura,Carnethy,F,3:23:10
24,Iain Gilmore,Carnethy,M,3:24:48
25,Jon Gay,Lochaber AC,M,3:25:03
26,John Binnie,Lochaber AC,M40,3:25:30
27,Fergus Johnston,Carnethy,M,3:25:41
28,Nicol Boyd,Unattached,M,3:27:59
29,Sarah O`neil,Hunters Bog Trotters,F,3:28:51
30,Andrea Priestley,Ochil HR,F40,3:29:28
31,Graham Kirby,Fife AC,M40,3:29:55
32,Steven Best,Carnethy,M,3:30:15
33,Ian Rowland,Dunbar RC,M40,3:30:29
34,David White,Kilmarnock Harriers,M40,3:30:37
35,Alan Gilkison,Westerlands,M40,3:31:20
36,John Tullie,Teviotdale Harriers,M50,3:32:31
37,Andrew Cox,Moorfoot Runners,M,3:32:56
38,Peter Simpson,PH Racing,M50,3:33:06
39,Kate Jenkins,Gala Harriers,F,3:34:18
40,Simon Titmuss,Carnethy,M,3:35:07
41,Euan Boyd,Carnethy,M,3:35:07
42,Jon Rathjen,Hunters Bog Trotters,M40,3:35:22
43,Graham Kelly,Westerlands,M40,3:36:35
44,Eilidh Anthony,Hunters Bog Trotters,F,3:36:41
45,Colin Williams,Moorfoot Runners,M,3:37:33
46,James Bowden,Hunters Bog Trotters,M,3:39:20
47,Ewan Paterson,Moray Road Runners,M50,3:39:32
48,Alex Mcvey,Carnethy,M,3:39:50
49,Gordon Pryde,Lomond Hill Runners,M50,3:40:26
50,Adam Potter,Unattached,M,3:40:35
51,Dave Mitchell,Dundee Road Runners,M40,3:40:44
52,Morag Mcclelland,Hunters Bog Trotters,F,3:41:49
53,Gregor Heron,Carnethy,M40,3:42:21
54,Julia Connor,Unattached,F,3:42:30
55,Mike Brooks,Penicuik Barriers,M40,3:44:02
56,John Duff,Northumberland FR,M40,3:44:15
57,Ian Stark,Unattached,M40,3:46:49
58,John Moffat,Highland HR,M50,3:48:54
59,Mark Caldwell,AYR Seaforth,M40,3:49:23
60,Robert Patterson,Unattached,M,3:50:29
61,Alayne Finlay,Ochil HR,F,3:50:38
62,Louise Burt,Fife AC,F40,3:51:10
63,David Cowan,Fife AC,M40,3:51:41
64,Craig O`donnell,Carnethy,M,3:52:12
65,Ian Hawkins,Fife AC,M40,3:53:20
66,Ian Poolman,Fife AC,M,3:54:01
67,Ian Sills,Dunbar RC,M40,3:54:15
68,Kenny Short,Borders Triathletes,M40,3:54:32
69,Billy Fraser,Northumberland FR,M50,3:54:32
70,Neil Gilmore,Carnethy,M40,3:55:14
71,Jacqueline Macintyre,Carn,F,3:55:29
72,Christopher Houston,Unattached,M,3:57:46
73,Gio Macdonald,Carnethy,M40,3:58:08
74,Chris Henty,Carnethy,M40,3:58:26
75,Graham Henry,Portobello,M40,3:58:59
76,Rob Wilson,Penicuik Barriers,M40,3:59:47
77,Paul Appleby,Northumberland FR,M50,3:59:57
78,Bernard Devoy,Portobello,M40,4:00:13
79,Alastair Paul,Northumberland FR,M50,4:07:07
80,Thomas Simmons,Unattached,M,4:07:41
81,Marinos Calothis,Westerlands,M,4:10:17
82,James Quigley,Unattached,M,4:11:29
83,Edmund Rooney,Lauderdale Limpers,M50,4:12:55
84,Steven Yule,Carnethy,M,4:13:46
85,Jim Stalker,Lochaber AC,M40,4:13:50
86,Stuart Macdonald,Giffnock North,M,4:14:31
87,Kevin Davie,Carn,M,4:15:31
88,Fabienne Thompson,Carn,F40,4:15:45
89,Stuart Hay,Dunbar RC,M40,4:15:51
90,Chris Blackwood,Moorfoot Runners,M,4:15:56
91,Joanne Anderson,Carnethy,F40,4:16:44
92,Colin Tough,Gala Harriers,M40,4:17:37
93,Willie Gibson,Carnethy,M50,4:18:03
94,John Hamer,Westerlands,M40,4:19:21
95,Scott Mcdonald,Unattached,M40,4:19:49
96,Matthew Jones,Carnethy,M,4:20:38
97,Tom Bowie,Unattached,M60,4:22:43
98,Emma Baker,Hunters Bog Trotters,F40,4:23:24
99,Dave Johnson,Northumberland FR,M50,4:24:23
100,John Blair-fish,Carnethy,M60,4:27:18
101,Alister Stewart,Tinto Hill Runners,M40,4:30:47
102,George Pumffrey,Unattached,M40,4:31:50
103,John Telfer,Northumberland FR,M50,4:32:59
104,Al Donald,Unattached,M40,4:33:46
105,Brian Davidson,Dunbar RC,M40,4:36:54
106,George Douglas,Westerlands,M40,4:39:59
107,Chris Huntley,Tinto Hill Runners,M50,4:41:36
108,Andrew Sim,Carn,M40,4:44:46
109,Digby Maass,Carnethy,M60,4:46:06
110,Karen Meikle,Carnethy,F50,4:47:47
111,Aurore Carric,Carnethy,F,4:47:47
112,Allan Macaulay,Carn,M50,4:49:05
113,Elise Acheson,Edinburgh AC,F,4:50:27
114,William Pikett,Norham AC,M40,4:51:50
115,Dougie Nisbet,Durham Fell Runners,M40,4:51:59
116,Donald Mellor,Unattached,M50,4:56:13
117,Graeme Cumming,Cosmics,M40,4:59:05
118,Jim Alexander,Lothian,M40,4:59:17
119,Charlie Love,Dundee Road Runners,M60,5:00:32
120,Neil Mclure,Carn,M40,5:00:55
121,Anne Hay,Dunbar RC,F40,5:02:55
122,David Ailano,Northumberland FR,M40,5:03:47
123,David Stakes,Bellahouston Harriers,M40,5:08:32
124,Moira Grainger,Fife AC,F40,5:11:53
125,Morna Fleming,Carn,F50,5:18:30
126,Stephen Greer,Carn,M50,5:34:25
127,Susan Nicol,Unattached,F40,5:35:04
